id,catergory_id
1,2
2,3
3,3
4,6
5,6
6,3
7,7
8,8
9,1
10,3
11,2
11,3
12,5
13,9
14,0
15,1
16,0
16,8
17,0
18,0
19,9
20,0
21,11
22,0
23,1
24,8
25,5
25,10
26,9
27,5
28,3
29,0
30,4
31,12
32,0
33,7
34,9
35,0
36,0
37,0
38,0
38,8
39,5
40,0
41,8
42,0
43,7
44,8
45,4
46,3
46,7
47,7
48,5
49,7
50,0
51,0
52,8
53,0
54,1
55,3
55,7
56,12
57,9
58,3
59,10
60,1
61,9
62,8
63,2
64,9
65,4
66,0
67,3
68,3
69,10
70,0
71,4
72,1
73,4
74,2
75,4
76,6
77,0
78,11
79,0
80,8
81,11
82,0
83,9
84,1
84,3
85,3
86,0
86,5
87,4
88,4
89,7
90,0
91,4
92,0
92,7
93,3
94,4
95,3
96,8
97,4
98,0
99,1
100,3
101,4
102,4
103,10
104,3
105,3
106,1
107,0
107,9
108,12
109,10
110,12
111,4
112,4
113,4
114,4
115,10
116,2
117,0
118,5
119,3
120,9
121,2
122,0
123,10
124,0
125,0
126,2
127,5
128,0
129,1
130,0
131,7
132,12
133,3
134,0
135,0
136,3
137,5
138,1
139,0
140,1
141,10
141,11
142,11
143,12
144,4
145,5
146,0
147,0
148,0
149,0
150,0
151,0
152,8
153,0
154,0
155,0
156,1
157,5
158,0
159,3
160,3
161,4
162,4
163,4
164,6
165,1
166,9
167,0
168,7
169,8
170,7
171,4
172,4
173,0
174,0
175,0
176,10
177,0
178,0
179,11
180,1
181,0
182,0
183,0
184,1
185,10
186,4
187,4
188,4
189,3
190,0
191,1
192,0
193,0
194,3
195,4
196,2
197,6
197,7
198,4
199,0
200,4
201,0
202,11
203,0
204,9
205,3
206,0
207,3
207,7
208,4
209,0
209,10
210,4
211,10
212,0
213,1
214,3
215,10
216,3
217,0
217,10
218,0
219,12
220,6
221,3
222,1
223,10
224,10
225,11
226,0
227,4
228,5
229,0
230,0
231,0
232,4
233,4
234,4
235,0
235,3
236,0
237,1
238,0
239,0
240,10
241,0
242,3
243,0
244,0
244,3
245,0
246,0
247,9
248,8
249,0
250,4
251,11
252,6
253,0
254,7
255,0
256,2
257,0
258,4
259,1
260,9
261,0
262,2
263,0
264,0
265,9
266,0
267,3
268,1
269,1
270,4
271,7
272,3
273,0
274,0
275,0
276,0
276,11
277,3
278,1
278,5
279,8
280,0
281,8
282,9
283,8
284,0
285,0
286,1
287,3
287,4
288,3
289,0
290,0
291,0
292,0
292,8
293,7
294,7
295,2
296,1
297,1
298,4
299,4
300,4
301,4
302,4
303,4
304,4
305,4
306,4
307,4
308,4
309,4
310,4
311,4
312,4
313,4
314,0
315,0
316,3
317,10
318,10
319,12
320,0
321,4
322,10
323,10
324,3
325,8
326,3
327,0
328,4
329,4
330,4
331,7
332,2
333,10
334,10
335,0
336,12
337,4
338,0
339,4
340,4
341,12
342,2
343,9
344,5
345,6
346,6
347,6
348,9
349,4
350,1
351,4
352,9
353,0
353,11
354,0
355,0
356,0
357,9
358,3
359,0
360,4
361,4
362,10
363,0
364,4
365,0
366,11
367,4
368,0
369,3
370,0
371,3
372,10
373,0
374,0
375,10
376,1
377,1
378,0
379,0
380,0
381,4
382,3
383,3
384,2
385,1
386,3
387,7
388,7
389,0
390,4
391,4
392,12
393,8
394,2
395,3
396,2